시도,시군구,어린이집명,어린이집유형구분,운영현황,우편번호,주소,어린이집전화번호,어린이집팩스번호,보육실수,보육실면적,놀이터수,CCTV설치수,보육교직원수,정원수,현원수,위도,경도,통학차량운영여부,홈페이지주소,인가일자,휴지시작일자,휴지종료일자,폐지일자
서울특별시,종로구,이화어린이집,민간,폐지,03123,서울특별시 종로구 율곡로20길 3 (충신동),02-747-2686,02-747-2252,6,248,1,10,0,64,0,37.57494521,127.0051251,미운영,,2004-05-03,,,2021-06-16
서울특별시,종로구,삼청어린이집,국공립,정상,03049,서울특별시 종로구 삼청로7길 26 (팔판동),02-723-0155,02-723-0155,3,68,0,7,8,32,18,37.58400574,126.9804875,미운영,http://cafe.naver.com/samchung1004,1999-09-01,,,
서울특별시,종로구,창신어린이집,사회복지법인,정상,03105,서울특별시 종로구 창신5길 22 (창신동),02-743-6302,02-743-6302,4,300,1,8,8,77,25,37.57360468,127.0120168,미운영,http://changsin.ukid.kr,1978-12-01,,,
서울특별시,종로구,아동회관어린이집,국공립,정상,03094,서울특별시 종로구 지봉로13길 14 아동회관어린이집,02-763-6038,050-5845-6038,6,215,1,16,11,65,38,37.57830726,127.0118098,미운영,,1988-10-01,,,
서울특별시,종로구,부암어린이집,국공립,정상,03019,서울특별시 종로구 세검정로6다길 10-7 ,02-396-6226,02-396-6227,5,302,3,10,27,92,81,37.60152236,126.9630733,미운영,https://buarm.kidsnote.ac,1998-07-29,,,
서울특별시,종로구,낙산어린이집,국공립,정상,03091,서울특별시 종로구 창신길 210-11 낙산어린이집 (창신동),02-765-1268,02-765-1268,5,301,1,13,10,52,17,37.57952972,127.0101667,미운영,http://children.seoul.go.kr,1981-10-13,,,
서울특별시,종로구,한빛어린이집,국공립,정상,03112,서울특별시 종로구 종로65길 10 (숭인동),02-763-6825,02-763-6825,4,119,1,7,9,44,18,37.57485743,127.0199441,미운영,,1993-03-02,,,
서울특별시,종로구,세종마을어린이집,국공립,정상,03034,서울특별시 종로구 옥인길 89 (옥인동),02-732-3070,02-732-3072,4,109,1,8,17,50,42,37.58195218,126.9639188,미운영,http://cafe.daum.net/loveohkin,1987-10-20,,,
서울특별시,종로구,조은어린이집,국공립,정상,03109,서울특별시 종로구 지봉로12가길 35 (숭인동),02-763-7800,02-763-7800,6,182,1,12,12,49,24,37.57564181,127.0169677,미운영,http://club.cyworld.com/clubV1/Home.cy/51956107,1991-07-12,,,
서울특별시,종로구,누상어린이집,국공립,정상,03037,서울특별시 종로구 옥인길 23-4 (누상동),02-738-6711,02-2138-0114,5,117,0,9,10,49,26,37.58079240057926,126.96719577472719,미운영,,1982-08-02,,,
